iter	Passed	Remaining
0	0	893
1	1	726
2	1	664
3	2	624
4	3	609
5	3	606
6	4	606
7	4	604
8	5	602
9	6	597
10	6	600
11	7	603
12	7	604
13	8	603
14	9	600
15	9	600
16	10	602
17	11	601
18	11	600
19	12	599
20	12	595
21	13	596
22	14	597
23	14	594
24	15	594
25	15	594
26	16	594
27	17	595
28	17	594
29	18	591
30	18	587
31	19	586
32	20	587
33	20	586
34	21	585
35	21	586
36	22	586
37	23	586
38	23	586
39	24	585
40	24	584
41	25	584
42	26	584
43	26	584
44	27	581
45	28	580
46	28	578
47	29	576
48	29	576
49	30	573
50	30	572
51	31	570
52	31	570
53	32	570
54	33	569
55	33	568
56	34	567
57	34	566
58	35	565
59	36	566
60	36	566
61	37	565
62	37	564
63	38	564
64	39	563
65	39	563
66	40	562
67	40	560
68	41	559
69	42	558
70	42	557
71	43	557
72	43	557
73	44	556
74	45	556
75	45	555
76	46	554
77	46	553
78	47	553
79	48	552
80	48	552
81	49	551
82	49	547
83	50	547
84	50	546
85	51	547
86	52	546
87	52	545
88	53	545
89	53	544
90	54	542
91	54	541
92	55	541
93	56	540
94	56	539
95	57	538
96	57	538
97	58	537
98	58	536
99	59	536
100	60	535
101	60	534
102	61	533
103	61	533
104	62	532
105	63	532
106	63	532
107	64	532
108	65	531
109	65	531
110	66	530
111	66	529
112	67	529
113	67	528
114	68	527
115	69	525
116	69	523
117	69	522
118	70	522
119	71	521
120	71	521
121	72	520
122	72	519
123	73	519
124	73	517
125	74	516
126	74	515
127	75	514
128	76	514
129	76	514
130	77	513
131	78	513
132	78	512
133	79	511
134	79	510
135	80	510
136	80	509
137	81	508
138	82	508
139	82	507
140	83	507
141	83	505
142	84	504
143	84	503
144	85	502
145	85	500
146	85	498
147	86	497
148	86	495
149	87	494
150	87	492
151	88	491
152	88	489
153	88	488
154	89	487
155	89	486
156	90	484
157	90	482
158	90	481
159	91	479
160	91	477
161	92	475
162	92	474
163	92	473
164	93	471
165	93	470
166	93	468
167	94	467
168	94	465
169	95	464
170	95	463
171	96	462
172	96	461
173	97	460
174	97	459
175	97	457
176	98	456
177	98	455
178	98	453
179	99	452
180	99	451
181	100	449
182	100	448
183	100	447
184	101	446
185	101	446
186	102	445
187	102	444
188	103	442
189	103	441
190	104	440
191	104	439
192	104	438
193	105	437
194	105	435
195	105	434
196	106	433
197	106	432
198	107	431
199	107	430
200	108	430
201	108	429
202	109	428
203	109	427
204	109	425
205	110	424
206	110	423
207	111	422
208	111	421
209	111	420
210	112	419
211	112	418
212	112	417
213	113	416
214	113	415
215	114	414
216	114	414
217	115	413
218	115	412
219	116	411
220	116	410
221	116	409
222	117	408
223	117	407
224	117	406
225	118	405
226	118	404
227	119	403
228	119	402
229	119	401
230	120	400
231	120	400
232	121	400
233	122	399
234	122	398
235	123	398
236	123	397
237	123	396
238	124	396
239	124	395
240	125	395
241	125	394
242	126	393
243	126	393
244	127	392
245	128	392
246	128	391
247	128	390
248	129	390
249	129	389
250	130	389
251	130	388
252	131	387
253	131	387
254	132	386
255	132	385
256	133	384
257	133	384
258	134	383
259	134	383
260	135	382
261	136	383
262	136	382
263	137	382
264	137	381
265	137	380
266	138	380
267	138	379
268	139	378
269	139	378
270	140	377
271	140	376
272	141	376
273	141	375
274	142	375
275	142	374
276	143	373
277	143	373
278	144	372
279	144	371
280	145	371
281	145	370
282	146	370
283	146	369
284	147	369
285	147	368
286	148	367
287	148	367
288	149	366
289	149	366
290	150	365
291	150	364
292	150	364
293	151	363
294	151	363
